Acne,Dark Spots,Dry Skin,Oily Skin,Skin Redness,URL,
25,25,25,25,25,https://amzn.in/d/fqTFhp4,
25,25,25,25,50,https://amzn.in/d/dFEEhIa,
25,25,25,25,75,https://amzn.in/d/1mqD154,
25,25,25,25,100,https://amzn.in/d/1Sg9v70,
25,25,25,50,25,https://amzn.in/d/9PbCv2V,
25,25,25,50,50,https://amzn.in/d/cvR6LKQ,
25,25,25,50,75,https://amzn.in/d/eZrdI2H,
25,25,25,50,100,https://amzn.in/d/6vHO34X,
25,25,25,75,25,https://amzn.in/d/cbOjnDc,
25,25,25,75,50,https://amzn.in/d/ct3ZGRO,
25,25,25,75,75,https://amzn.in/d/cUjyK25,
25,25,25,75,100,https://amzn.in/d/bVb226D,
25,25,25,100,25,https://amzn.in/d/hu6zB21,
25,25,25,100,50,https://amzn.in/d/a0Fyp00,
25,25,25,100,75,https://amzn.in/d/9OQumD1,
25,25,25,100,100,https://amzn.in/d/h2AqsfE,
25,25,50,25,25,https://amzn.in/d/7rVrIkG,
25,25,50,25,50,https://amzn.in/d/ce5YsJG,
25,25,50,25,75,https://www.bioderma-india.in/our-products/sebium/hydra,
25,25,50,25,100,https://amzn.in/d/auQgEis,
25,25,50,50,25,https://amzn.in/d/cyypAdt,
25,25,50,50,50,https://amzn.in/d/3fWzWbq,
25,25,50,50,75,https://amzn.in/d/6AlHoBe,
25,25,50,50,100,https://amzn.in/d/6805hnY,
25,25,50,75,25,https://amzn.in/d/ikrXPjP,
25,25,50,75,50,https://amzn.in/d/5qwaE74,
25,25,50,75,75,53398560277,
25,25,50,75,100,https://www.amazon.in/Paulas-Choice-Redness-Relief-Cleanser/dp/B01ATYTS7C,
25,25,50,100,25,31466481257,
25,25,50,100,50,38018356044,
25,25,50,100,75,1292259499,
25,25,50,100,100,https://www.amazon.in/Neutrogena-Redness-Soothing-Facial-Cleanser/dp/B002ECVMWM,
25,25,75,25,25,24248430125,
25,25,75,25,50,8688676421,
25,25,75,25,75,81434905368,
25,25,75,25,100,19039792604,
25,25,75,50,25,95626269191,
25,25,75,50,50,90785514182,
25,25,75,50,75,16712235001,
25,25,75,50,100,20795965386,
25,25,75,75,25,83781023288,
25,25,75,75,50,25018382110,
25,25,75,75,75,37993451762,
25,25,75,75,100,54704775439,
25,25,75,100,25,22480596040,
25,25,75,100,50,42011747813,
25,25,75,100,75,32124447130,
25,25,75,100,100,47066229794,
25,25,100,25,25,40782008294,
25,25,100,25,50,90038344233,
25,25,100,25,75,95224895334,
25,25,100,25,100,89923496945,
25,25,100,50,25,86141353311,
25,25,100,50,50,60778190209,
25,25,100,50,75,30834903756,
25,25,100,50,100,43767699465,
25,25,100,75,25,7860878629,
25,25,100,75,50,76500362374,
25,25,100,75,75,11564777810,
25,25,100,75,100,42087696715,
25,25,100,100,25,36627884347,
25,25,100,100,50,70014342056,
25,25,100,100,75,75013111187,
25,25,100,100,100,67239917557,
25,50,25,25,25,39217078108,
25,50,25,25,50,11502329636,
25,50,25,25,75,89877583776,
25,50,25,25,100,26071065714,
25,50,25,50,25,77148761964,
25,50,25,50,50,4018762521,
25,50,25,50,75,36950761796,
25,50,25,50,100,55332864620,
25,50,25,75,25,26105524393,
25,50,25,75,50,69825867098,
25,50,25,75,75,30517956673,
25,50,25,75,100,95978077117,
25,50,25,100,25,2817980589,
25,50,25,100,50,99181231396,
25,50,25,100,75,86108916040,
25,50,25,100,100,49622740975,
25,50,50,25,25,22524348956,
25,50,50,25,50,20076769820,
25,50,50,25,75,68405820532,
25,50,50,25,100,24128809139,
25,50,50,50,25,1473121349,
25,50,50,50,50,23533343359,
25,50,50,50,75,72188783319,
25,50,50,50,100,7470835147,
25,50,50,75,25,64894278105,
25,50,50,75,50,37897452885,
25,50,50,75,75,87811041046,
25,50,50,75,100,71862732655,
25,50,50,100,25,55696101164,
25,50,50,100,50,93006506645,
25,50,50,100,75,43851588252,
25,50,50,100,100,30338912670,
25,50,75,25,25,49719561427,
25,50,75,25,50,17372267891,
25,50,75,25,75,21656580196,
25,50,75,25,100,84852157200,
25,50,75,50,25,51039705989,
25,50,75,50,50,28840570338,
25,50,75,50,75,56437799144,
25,50,75,50,100,94834239961,
25,50,75,75,25,72846357333,
25,50,75,75,50,17853341038,
25,50,75,75,75,99179521540,
25,50,75,75,100,84003338334,
25,50,75,100,25,55710010294,
25,50,75,100,50,78162262197,
25,50,75,100,75,73437231582,
25,50,75,100,100,31360326707,
25,50,100,25,25,46283957407,
25,50,100,25,50,38713998393,
25,50,100,25,75,709048056,
25,50,100,25,100,91315003935,
25,50,100,50,25,12848904992,
25,50,100,50,50,81962799469,
25,50,100,50,75,2099049865,
25,50,100,50,100,30823254855,
25,50,100,75,25,23995657426,
25,50,100,75,50,88670636208,
25,50,100,75,75,87751725960,
25,50,100,75,100,65475045788,
25,50,100,100,25,43458303279,
25,50,100,100,50,94382936345,
25,50,100,100,75,13864430733,
25,50,100,100,100,25219531088,
25,75,25,25,25,96830200607,
25,75,25,25,50,97833455117,
25,75,25,25,75,94150938180,
25,75,25,25,100,87348784589,
25,75,25,50,25,6533155552,
25,75,25,50,50,34790531315,
25,75,25,50,75,50286058035,
25,75,25,50,100,85933596095,
25,75,25,75,25,80020430798,
25,75,25,75,50,12127749757,
25,75,25,75,75,34058766193,
25,75,25,75,100,91600321766,
25,75,25,100,25,41134405709,
25,75,25,100,50,44481504497,
25,75,25,100,75,5738145788,
25,75,25,100,100,46502541214,
25,75,50,25,25,6636884138,
25,75,50,25,50,85299271668,
25,75,50,25,75,31781864699,
25,75,50,25,100,45081237603,
25,75,50,50,25,93822890152,
25,75,50,50,50,23238373802,
25,75,50,50,75,74614666584,
25,75,50,50,100,95371545244,
25,75,50,75,25,40321721094,
25,75,50,75,50,989249034,
25,75,50,75,75,83547765486,
25,75,50,75,100,236716958,
25,75,50,100,25,25858825286,
25,75,50,100,50,82153107050,
25,75,50,100,75,8716961099,
25,75,50,100,100,32081318814,
25,75,75,25,25,43882863212,
25,75,75,25,50,41516518948,
25,75,75,25,75,42009060383,
25,75,75,25,100,90189465070,
25,75,75,50,25,26806756216,
25,75,75,50,50,62131823600,
25,75,75,50,75,29873633412,
25,75,75,50,100,53818053612,
25,75,75,75,25,87089674171,
25,75,75,75,50,19273033996,
25,75,75,75,75,24446673429,
25,75,75,75,100,88840564861,
25,75,75,100,25,4599181135,
25,75,75,100,50,9302098199,
25,75,75,100,75,28888887812,
25,75,75,100,100,37551976928,
25,75,100,25,25,28537425261,
25,75,100,25,50,39350242305,
25,75,100,25,75,85965743164,
25,75,100,25,100,76428259606,
25,75,100,50,25,78301358104,
25,75,100,50,50,65921785936,
25,75,100,50,75,42071943373,
25,75,100,50,100,32904503873,
25,75,100,75,25,94558013390,
25,75,100,75,50,65505888859,
25,75,100,75,75,78676760280,
25,75,100,75,100,72029998755,
